Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
68	140.42929	0.0	140.42929	140.42929	1000.0	17.002642	2.869747	23.692806	3.8462915	69000	0.013347181	79.47204	-0.00012377091	-4.884384	2.3870578	0.0036442652	1324.5422234535217
69	247.45006	0.0	247.45006	247.45006	1000.0	19.651415	3.8502092	26.961998	6.3265986	70000	-0.080650635	109.06896	-0.00092607737	-20.607697	2.3561919	0.0049569174	1343.2575056552887
70	140.30269	0.0	140.30269	140.30269	1000.0	21.413687	5.401978	30.796307	8.445211	71000	0.08033983	110.96622	-0.01031407	-50.48099	2.4244602	0.013076456	1362.7294809818268
71	114.4879	0.0	114.4879	114.4879	1000.0	13.914199	5.362557	26.16899	-0.9292056	72000	-0.104355425	67.959595	-0.007527046	-3.628601	2.387825	0.0043796054	1381.363189458847
72	96.10076	0.0	96.10076	96.10076	1000.0	14.292868	5.2140527	26.903109	3.7418149	73000	-0.081137754	45.88305	-0.0067278	-18.883526	2.3985	0.0016797526	1401.7224791049957
73	285.82736	0.0	285.82736	285.82736	1000.0	16.85845	2.6715052	22.2282	4.795383	74000	-0.0110385325	202.73354	0.00012946129	-137.411	2.3301156	0.008200279	1421.0596849918365
74	163.33647	0.0	163.33647	163.33647	1000.0	22.531158	4.678653	33.68342	3.2590752	75000	-0.018073587	79.81794	-0.0030685626	-21.061909	2.34867	0.0051223575	1439.665150642395
75	129.6668	0.0	129.6668	129.6668	1000.0	15.012084	4.8960752	28.814415	1.7970848	76000	-0.010848364	58.321022	-0.0038164342	-1.6815147	2.337922	-0.00041241682	1458.6755793094635
76	166.7013	0.0	166.7013	166.7013	1000.0	19.48576	6.558032	30.80203	-0.074742794	77000	-0.02037866	37.014366	-0.0047004335	-4.9015656	2.3222983	9.864307e-05	1477.0619142055511
77	321.79498	0.0	321.79498	321.79498	1000.0	20.087013	4.1446037	27.773527	3.6533718	78000	-0.10043046	287.59744	-0.0034271479	-151.52382	2.2835956	-0.00015123558	1498.468418121338
78	334.86172	0.0	334.86172	334.86172	1000.0	33.39667	3.9173267	39.076275	4.764982	79000	-0.02978967	205.45323	2.0982698e-05	-13.800095	2.2098494	0.0010497605	1525.2016596794128
79	259.33752	0.0	259.33752	259.33752	1000.0	31.365898	4.855547	40.569283	15.216689	80000	-0.06389314	73.05115	-0.0057791844	-20.707115	2.2972062	0.004772009	1543.7827231884003
80	289.04822	0.0	289.04822	289.04822	1000.0	30.240664	3.2337434	35.797157	7.5804667	81000	0.053740747	47.11227	-0.0025961287	-1.6471214	2.2502499	0.0056471154	1563.246143579483
81	248.67027	0.0	248.67027	248.67027	1000.0	23.243713	3.534234	32.72258	4.5219417	82000	-0.061764237	84.709755	-0.0043241195	-11.515282	2.2409308	0.0061372565	1584.4271926879883
82	287.1623	0.0	287.1623	287.1623	1000.0	34.321922	2.5615313	40.84466	15.6800585	83000	-0.04331095	96.57661	-0.00053253025	-20.963158	2.2596376	0.003725391	1607.7327132225037
83	309.1902	0.0	309.1902	309.1902	1000.0	24.700241	4.129769	34.320545	11.75754	84000	-0.010921297	106.00133	-0.005295486	-27.819267	2.258631	0.0034891844	1629.758816242218
84	243.71689	0.0	243.71689	243.71689	1000.0	33.456184	4.637045	41.074062	11.854165	85000	0.039063927	177.01208	-0.0060907453	-64.27358	2.243158	0.007254473	1649.2837460041046
85	235.08777	0.0	235.08777	235.08777	1000.0	20.356407	4.6206365	30.987827	8.179771	86000	-0.028341953	73.97758	-0.0024490934	-21.57536	2.2536378	0.0016150265	1675.680017709732
86	254.65073	0.0	254.65073	254.65073	1000.0	28.352528	4.178662	36.262302	9.443478	87000	-0.008541413	44.002842	-0.0031028995	-6.043934	2.1574724	0.0051744776	1697.2076997756958
87	306.48944	0.0	306.48944	306.48944	1000.0	25.302082	5.2376084	34.13839	11.320507	88000	-0.017702283	165.36127	-0.0016998406	-52.96723	2.1281621	0.0029796201	1718.440259695053
88	195.22823	0.0	195.22823	195.22823	1000.0	30.486984	3.610812	38.695072	9.932748	89000	-0.030209072	137.1533	-0.0049781203	-91.49152	2.1970918	0.002976336	1740.0237817764282
